Frequency analysis for file: Resources\normalText.txt
 ear - 809 - 0.36 %
 hic - 797 - 0.36 %
 hin - 787 - 0.35 %
 had - 785 - 0.35 %
 ich - 750 - 0.34 %
 eve - 730 - 0.33 %
 hou - 718 - 0.32 %
 igh - 709 - 0.32 %
 hen - 690 - 0.31 %
 tio - 680 - 0.31 %
 ome - 656 - 0.30 %
 out - 649 - 0.29 %
 nce - 629 - 0.28 %
 ess - 627 - 0.28 %
 man - 611 - 0.27 %
 int - 609 - 0.27 %
 res - 605 - 0.27 %
 rea - 604 - 0.27 %
 oun - 599 - 0.27 %
 aid - 577 - 0.26 %
 red - 571 - 0.26 %
 fro - 562 - 0.25 %
 are - 556 - 0.25 %
 mes - 551 - 0.25 %
 und - 544 - 0.24 %
 een - 530 - 0.24 %
 est - 524 - 0.24 %
 ery - 522 - 0.23 %
 ell - 520 - 0.23 %
 rom - 513 - 0.23 %
 ain - 512 - 0.23 %
 sta - 510 - 0.23 %
 ted - 509 - 0.23 %
 ate - 509 - 0.23 %
 ind - 508 - 0.23 %
 com - 507 - 0.23 %
 ill - 507 - 0.23 %
 him - 502 - 0.23 %
 she - 500 - 0.22 %
 ugh - 497 - 0.22 %
 tte - 496 - 0.22 %
 sai - 493 - 0.22 %
 han - 492 - 0.22 %
 but - 490 - 0.22 %
 pon - 472 - 0.21 %
 ble - 472 - 0.21 %
 wer - 470 - 0.21 %
 cou - 469 - 0.21 %
 lme - 465 - 0.21 %
 upo - 465 - 0.21 %
 olm - 463 - 0.21 %
 oth - 457 - 0.21 %
 con - 454 - 0.20 %
 whe - 453 - 0.20 %
 own - 453 - 0.20 %
 ers - 443 - 0.20 %
 see - 443 - 0.20 %
 ine - 442 - 0.20 %
 ive - 439 - 0.20 %
 ide - 437 - 0.20 %
 sho - 432 - 0.19 %
 ste - 431 - 0.19 %
 ect - 427 - 0.19 %
 ove - 427 - 0.19 %
 ore - 425 - 0.19 %
 tle - 424 - 0.19 %
 per - 424 - 0.19 %
 ard - 416 - 0.19 %
 der - 413 - 0.19 %
 ati - 413 - 0.19 %
 str - 409 - 0.18 %
 oug - 408 - 0.18 %
 ned - 406 - 0.18 %
 now - 405 - 0.18 %
 bee - 404 - 0.18 %
 ous - 392 - 0.18 %
 tin - 391 - 0.18 %
 hea - 385 - 0.17 %
 rie - 382 - 0.17 %
 tur - 380 - 0.17 %
 itt - 378 - 0.17 %
 ust - 377 - 0.17 %
 ten - 371 - 0.17 %
 nin - 371 - 0.17 %
 rou - 371 - 0.17 %
 use - 366 - 0.16 %
 ame - 366 - 0.16 %
 ure - 360 - 0.16 %
 dow - 359 - 0.16 %
 tra - 358 - 0.16 %
